full_code,soc_4,soc_sub,title,description
1136/02,1136,02,"Equality, diversity and inclusion managers","Equality, diversity and inclusion managers develop policies to improve affirmative action, diversity and equality matters. They inform staff in organisations on the importance of, and implementation of policies. They perform guidance and support duties for employees."
1136/03,1136,03,Learning and development managers and directors,"Learning and development managers and directors are responsible for overseeing the delivery of leadership, management, business and personal progression training programmes to expand on the talents and skills for employees within an organisation. They usually engage with vendors or manage a team that delivers training."
1136/04,1136,04,Recruitment managers and directors,"Recruitment managers and directors oversee the sourcing, interviewing and hiring processes of employees. They ensure that recruitment strategies are up to date and develop the implementation of new ones within their organisation."
1136/99,1136,99,Human resources managers and directors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1136:  Human resources managers and directors 
1137/01,1137,01,Information security directors,"Information security directors develop and maintain information security policies, standards, guidelines and oversee the dissemination of security policies and practices. They identify knowledge gaps to increase awareness of relevant information security practices."
1137/02,1137,02,Information technology operations directors,"Information technology operations directors coordinate information technology services and infrastructure ensuring that the organisation has the required infrastructural resources. They oversee the day-to-day tasks involving infrastructure components, information technology systems and software."
1137/03,1137,03,Information technology programme managers and directors,"Information technology programme managers and directors are responsible for the overarching vision of a programme. They schedule, control and direct the resources, people, funding and facilities to achieve the objectives of IT projects. They define the programme governance arrangements and establish budgets and timelines."
1137/04,1137,04,Information technology technical directors,"Information technology technical directors control the development, implementation and maintenance of the company's information and communications strategy and systems. "
1137/99,1137,99,Information technology directors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1137:  Information technology directors
1139/01,1139,01,Accounts directors,"Accounts directors serve as intermediators between clients and the organisation, managing both sales and long-term relations with the client. They have knowledge about products and services and develop contracts with customers."
1139/02,1139,02,Administration directors,"Administration directors oversee the administrative operations in an organisation. Responsibilities can differ from business to business and could include coordinating daily operational functions, streamlining management systems, monitoring budgets, supervising managers, improving business efficiency and analysing financial data."
1139/03,1139,03,Complaints and customer service directors,"Complaints and customer service directors have the overall responsibility for the customer service function in an organisation. They develop service standards, deal with quality control and manage customer service teams."
1139/04,1139,04,Events directors,"Events directors are responsible for the successful project delivery of events. Responsibilities include managing partnerships with promoters, develop and review budget plans, ensure sales targets are met and manage the events team."
1139/05,1139,05,Intellectual property managers and directors,"Intellectual property managers and directors use their scientific knowledge, legal and technical skills to manage the intellectual property assets of their organisation by providing professional support in the identification, patenting and licensing of intellectual property."
1139/06,1139,06,Municipal clerks,Municipal clerks advise and assist in the formation of policies. They draft agendas and bylaws for town or city councils. They keep fiscal records and accounts and prepare reports on civic needs.
1139/07,1139,07,Research and development (R&D) directors,"Research and development (R&D) directors coordinate scientists, academical researchers, product developers, and market researchers towards the creation of new products, the improvement of current ones or other research activities, including scientific research."
1139/99,1139,99,Functional managers and directors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1139: Functional managers and directors n.e.c. 
1140/01,1140,01,Supply chain directors,Supply chain directors help build necessary business infrastructures that ensure supply chain operations run smoothly. They communicate with vendors and distributors to ensure that their organisation can receive and ship their products.
1140/99,1140,99,"Directors in logistics, warehousing and transport n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 1140: Directors in logistics, warehousing and transport"
1150/00,1150,00,Managers and directors in retail and wholesale,"Retail and wholesale managers and directors plan, organise, direct and co-ordinate the operations of major retail and wholesale establishments in order to maximise business performance and meet financial goals."
1161/01,1161,01,Army officers,"Army officers serve as commissioned officers in His Majesty’s armed forces. They may command soldiers in an army, army corps, a division or a brigade. They plan, direct, organise and administer military operations and perform duties for which there is no civilian equivalent."
1161/02,1161,02,Royal Air Force officers,"Royal Air Force officers serve as commissioned officers in His Majesty’s armed forces. They carry out flying duties or specialise in one of a wide range of ground duties. They plan, direct, organise and administer military operations and perform duties for which there is no civilian equivalent."
1161/03,1161,03,Royal Marines officers,"Royal Marines officers serve as commissioned officers in His Majesty’s armed forces. They lead teams of commandos in combat situations, at sea and on land. They plan, direct, organise and administer military operations and perform duties for which there is no civilian equivalent."
1161/04,1161,04,Royal Navy officers,"Royal Navy officers serve as commissioned officers in His Majesty’s armed forces. They manage ships and submarine operations and are responsible for all personnel in their command. They plan, direct, organise and administer military operations and perform duties for which there is no civilian equivalent."
1161/99,1161,99,Officers in armed forces n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1161: Officers in armed forces. 
1162/01,1162,01,"Chief, deputy chief and assistant chief constables ","The Chief constable holds direct accountability for the operational delivery of policing services and the effective command and leadership of the policing response to crime, and major and critical incidents. The Deputy chief constable supports the Chief constable to lead the force. The Assistant chief constable contributes to the development and implementation of the Force’s delivery plan. Chief, deputy chief and assistant chief constables are both detective and non-detective roles. "
1162/02,1162,02,Chief inspectors,"Chief inspectors manage large teams of inspectors, sergeants, police constables and police staff. They may be assigned specialist policing functions such as investigations and head major investigations such as murder. This role carries specific legal powers in line with inspector rank to enable the maintenance of law and order.  Post holders may be the senior operational officer or manage assigned specialist policing functions. Chief inspectors and inspectors are both detective and non-detective roles. "
1162/03,1162,03,Chief superintendents,"Chief superintendents lead multiple large and/or complex areas of command within forces and across collaborations, strategic alliances and partnerships, carrying responsibility for all activities in their area, often acting as part of the Chief officer team. They lead responses to major events and serious/complex investigations, setting strategic/tactical objectives and priorities, assessing and managing threats/risks. "
1162/99,1162,99,Senior police officers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1162: Senior police officers 
1163/01,1163,01,Senior officers in ambulance services,"Senior officers in ambulance services plan, organise, direct and co-ordinate the activities of ambulance personnel and control room assistants, for the provision of ambulance services for emergency and non-emergency cases"
1163/02,1163,02,Senior officers in fire services,"Senior officers in fire services plan, organise, direct and co-ordinate activities for fire departments making sure the services supplied are effective and the necessary equipment is provided. They develop and manage the business policies ensuring the legislation is followed."
1163/03,1163,03,Senior officers in immigration services,"Senior officers in immigration services plan, organise, direct, and co-ordinate the activities and resources necessary for immigration requirements and establishing that passengers have the necessary authorisation for crossing national borders."
1163/04,1163,04,Senior officers in prison services,"Senior officers in prison services plan, organise, direct, and co-ordinate the activities and resources necessary for the running of a prison, remand or detention centre."
1163/05,1163,05,Senior officers in revenue and customs,"Senior officers in revenue and customs make sure that organisations and individuals pay the correct amount of tax at the right time. They're responsible for detecting and investigating tax evasion and fraud.  In disputed cases they will represent HMRC at independent appeal tribunals. The role also involves offering information and advice to individuals, businesses and organisations on a range of tax and related issues."
1171/01,1171,01,Clinical governance and information managers,"Clinical governance and information managers oversee the daily operations of information systems used in a medical institution. They manage the retrieval, analysis, interpretation and presentation of health data and information.  Clinical governance managers use this information to enable the planning, improvement and delivery of patient services and care."
1171/02,1171,02,Healthcare service managers and directors,"Healthcare service managers and directors supervise the operations of healthcare institutions, such as hospitals, rehabilitation facilities, home care services and elderly care institutions. They ensure the organisation meets requirements, the patients and residents are cared for, the organisation is maintained, and the necessary equipment present. "
1171/99,1171,99,Health services and public health managers and directors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1171:  Health services and public health managers and directors
1172/00,1172,00,Social services managers and directors,"Social services managers and directors plan, organise, direct and co-ordinate the resources and commission the services necessary to protect the welfare of certain groups within local authorities including children and young people, families under stress, people with disabilities, elderly people and people needing help as a result of illness."
1211/00,1211,00,Managers and proprietors in agriculture and horticulture,"Managers and proprietors in this unit group plan, organise and co-ordinate the activities and resources of farming and mixed farming establishments cultivating arable crops, fruits, trees and shrubs, and/or raising cattle, sheep, pigs and poultry. Managers and proprietors in horticulture oversee the production of plants for wholesale and/or retail."
1212/01,1212,01,Cattery and kennel managers and proprietors,"Cattery and kennel managers and proprietors provide boarding or breeding facilities for domestic animals. They are responsible for the day-to-day operation, control, care or maintenance of the of dogs, cats or other domestic animals. "
1212/02,1212,02,Fisheries managers and proprietors,Fisheries managers and proprietors are responsible for the breeding and rearing of fish for the wholesale or retail trade
1212/03,1212,03,Forestry managers,Forestry managers are responsible for the sustainable management of timber production and the preservation and protection of trees and the forest environment.
1212/04,1212,04,Livery yard and stud farm managers and proprietors,"Livery yard and stud farm managers and proprietors breed and sell horses. They are responsible for the daily running of the yard, including managing staff, the care of the horses and foals, and dealing with clients and owners."
1212/05,1212,05,Racehorse trainers,"Racehorse trainers run stables, manage staff, look after horses training and welfare, and prepare them for races."
1212/99,1212,99,"Managers and proprietors in forestry, fishing and related services n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 1212: Managers and proprietors in forestry, fishing and related services"
1221/00,1221,00,Hotel and accommodation managers and proprietors,"Hotel and accommodation managers and proprietors plan, organise, direct and co-ordinate the activities and resources of halls of residence, hotels, hostels, caravan sites, holiday camps, holiday flats and chalets, and organise the domestic, catering, and entertainment facilities on passenger ships."
1222/01,1222,01,Café and restaurant managers and proprietors,"Café and restaurant managers and proprietors have responsibility for the businesses performance, quality standards, and health and safety, as well as staff and customer satisfaction. Types of café or restaurant could include, brasseries and bistros, casual dining, and cafeterias. "
1222/02,1222,02,Catering operations managers,"Catering operations managers plan, organise and develop the food and beverage services of organisations and businesses. They recruit and manage staff, plan menus and work to budgets and financial targets."
1222/03,1222,03,Takeaway managers and proprietors,"Takeaway managers and proprietors have responsibility for the takeaway's business performance, quality standards, and health and safety, as well as staff and customer satisfaction. "
1222/99,1222,99,Restaurant and catering establishment managers and proprietors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1222: Restaurant and catering establishment managers and proprietors
1223/00,1223,00,Publicans and managers of licensed premises,"Publicans and managers of licensed premises organise, direct and co-ordinate the activities and resources of public houses (non-residential and residential) and bar and catering facilities at non-residential clubs."
1224/01,1224,01,Cinema managers and proprietors,"Cinema managers and proprietors plan and organise the daily operations of the venue. Responsibilities may include adhering to health and safety legislation, stock control, recruitment, induction and training, and managing budgets."
1224/02,1224,02,Golf course managers,"Golf course managers plan and organise the daily operations of a golf course.  Responsibilities may include developing and delivering the business plan to generate income from green fees, golf membership and golf society days. They may assist in the maintenance of the golf course and greens."
1224/03,1224,03,"Gym, fitness and leisure services managers and proprietors","Gym, fitness and leisure services managers and proprietors plan and organise the daily operations of the facility. Responsibilities may include arranging activity timetables, organise and promote special events, staff recruitment, control budgets and monitor performance targets for the facility and take responsibility for health and safety."
1224/04,1224,04,Marina managers,"Marina managers are responsible for the safe and efficient operation of a marina.  Responsibilities may include financial performance, berth utilisation and boatyard operation, marina and dry stack occupancy and the maintenance of onsite facilities, plant, and equipment. They will be responsible for health and safety of the marina and marina teams."
1224/05,1224,05,Museum managers and proprietors,"Museum managers and proprietors plan and organise the daily operations of a museum. Responsibilities may include business planning and implementation, communications and marketing strategies, coordinating the museum’s creative programme, facilities management."
1224/06,1224,06,Parks and gardens managers,"Parks and gardens managers coordinate and plan all activities of parks, countryside and green/open spaces. Responsibilities may include budget management, project management of new schemes and management of staff, delivering grounds maintenance (including outdoor sport spaces), burials and tree management functions. "
1224/07,1224,07,Theatre managers (excludes hospital service),"Theatre managers oversee the operational running of a theatre. Tasks can range from coordinating the programme calendar and attracting donations to increasing the theatre's visibility in the community and managing its budget. They manage staff, recruitment and training and customer care."
1224/99,1224,99,Leisure and sports managers and proprietors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1224: Leisure and sports managers and proprietors
1225/00,1225,00,Travel agency managers and proprietors,"Travel agency managers and proprietors plan, organise, direct and co-ordinate the resources and activities of travel agencies and booking offices."
1231/01,1231,01,Dental practice managers,Dental practices managers oversee the day-to-day operations of a dental practice. They oversee the staff and business side of the practice.
1231/02,1231,02,Medical practice managers,Medical practices managers oversee the day-to-day operations of a medical practice. They oversee the staff and business side of the practice.
1231/03,1231,03,Opticians managers,Opticians managers oversee the day-to-day operations of an opticians. They oversee the staff and business side of the practice.
1231/04,1231,04,Veterinary practice managers,Veterinary practice managers oversee the day-to-day operations of a veterinary practice. They oversee the staff and business side of the practice.
1231/99,1231,99,Health care practice managers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1231: Health care practice managers
1232/01,1232,01,Day care managers,"Day care managers are responsible for all aspects of the day-to-day operations within the care setting, including recruiting and managing staff, managing budgets and ensuring that the quality of the services provided meets national care standards."
1232/02,1232,02,Home care managers,Home care managers are responsible for the range of services put in place to support individuals in their own home and ensuring the highest standard of care is delivered to all clients.
1232/03,1232,03,Residential care managers and proprietors ,"Residential care managers and proprietors are responsible for the leadership and day-to-day running of care homes that provide all year, round-the-clock care.  They support residents in sheltered housing and assisted living or retirement complexes. "
1232/99,1232,99,"Residential, day and domiciliary care managers and proprietors n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 1232: Residential, day and domiciliary care managers and proprietors"
1233/00,1233,00,Early education and childcare services proprietors ,"Early childhood and childcare services proprietors plan, organise, direct and co-ordinate the activities and resources of residential or day nurseries, play groups, and similar establishments."
1241/01,1241,01,Airport managers,"Airport managers oversee tasks linked to the operation of airports. Their responsibilities include the organisation of the maintenance and repair works for buildings and interior equipment. They ensure the comfort, service, safety and security of passengers, other clients and the commercial use of buildings. "
1241/02,1241,02,Depot and fleet managers,"Depot and fleet managers are responsible for handling all facets of fleet activities within an organisation. This includes vehicle storage, maintenance, managing drivers and negotiating with suppliers. Fleet vehicles may include but are not limited to cars, buses, vans, HGV's and taxi cabs."
1241/03,1241,03,Dispatch and distribution managers,"Dispatch and distribution managers plan the distribution of goods by road, rail, sea and air to various points of sales."
1241/04,1241,04,Harbour and port managers,"Harbour and port managers oversee all activities within the harbour or port. They enforce rules and regulations, such as the berthing of boats and ships, handling and storing of cargo, and the use of port facilities. They direct policing and cleaning activities of harbour department land, streets, buildings, and water areas. "
1241/05,1241,05,Road traffic managers,Road traffic managers are responsible for the provision of a safe environment for those working on the roads and for the general public who are using the UK’s road system. They implement a safe traffic management system where needed to reduce the risk of accidents on the road.  
1241/99,1241,99,Managers in transport and distribution n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1241: Managers in transport and distribution
1242/00,1242,00,Managers in storage and warehousing,"Managers in storage and warehousing plan, organise, and co-ordinate the activities and resources necessary for the safe and efficient receipt, storage and warehousing of goods and for the maintenance of stocks at an optimal level."
1243/00,1243,00,Managers in logistics,"Managers in logistics plan, co-ordinate and organise the supply chain of goods and services between the point of production and consumption, including their efficient transportation, storage and retailing."
1251/01,1251,01,Facilities managers,"Facilities managers perform strategic planning as well as routine operational planning related to buildings' administration and maintenance. They control and manage health and safety procedures, supervise the work of contractors, plan and handle maintenance operations, fire safety and security issues, oversee cleaning activities, utilities infrastructure and are in charge of space management."
1251/02,1251,02,"Landlords, property and housing managers ","Landlords, property and housing managers oversee housing services for tenants or residents. They work for housing associations or private organisations for which they collect rental fees, inspect properties, suggest and implement improvements concerning repairs or neighbour nuisance issues, maintain communication with tenants, handle housing applications and liaise with local authorities and property managers. They may manage property portfolios for clients and deal with leases and the purchase of land."
1251/03,1251,03,Property investors and developers,"Property investors and developers buy land and premises, finance deals, order construction projects and orchestrate the process of development. They purchase a tract of land, decide on a marketing strategy, and develop the building programme. Developers must obtain legal approval and financing. When the project is finished, they may lease, manage, or sell the property."
1251/04,1251,04,Sales and lettings managers ,"Sales and letting managers oversee all aspects of the business including lease and purchase administration, financial management, staff training, target setting and promotion of the business and new properties.  They liase with vendors and landlords to agree terms and conditions of the business."
1251/05,1251,05,Shopping centre managers ,"Shopping centre managers are responsible for overseeing the daily activities of a shopping Centre. This includes, but not exclusively, management of budgets, health and safety, communications, contract management, administration and project development and management."
1251/99,1251,99,"Property, housing and estate managers n.e.c.","Job holders in this group perform occupations not elsewhere classified in Unit Group 1251: Property, housing and estate managers"
1252/00,1252,00,Garage managers and proprietors,"Garage managers and proprietors plan, organise, direct and co-ordinate the day-to-day running of garages and specialist vehicle maintenance and repair establishments."
1253/01,1253,01,Beauty salon managers and proprietors,"Beauty salon managers and proprietors oversee the daily operations and staff management in a beauty salon. They ensure customer satisfaction, budget control and inventory management. Beauty salon managers enforce salon rules and cleanliness guidelines. They are also in charge of promoting the salon to attract new clients."
1253/02,1253,02,Hairdressing managers and proprietors,"Hairdressing managers and proprietors oversee the daily operations and staff management in a hair salon or barbers. They ensure customer satisfaction, budget control and inventory management. Hairdressing managers set up and enforce rules and cleanliness guidelines for the premises. They are also in charge of promoting services to attract new clients."
1253/99,1253,99,Hairdressing and beauty salon managers and proprietors n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1253: Hairdressing and beauty salon managers and proprietors
1254/01,1254,01,Landfill site managers,"Landfill site managers coordinate the activities and operations of landfills and landfill staff. They research legislation concerning waste management and ensure the operations of the landfill are compliant, and direct waste disposal operations."
1254/02,1254,02,Recycling managers,Recycling managers research recycling policies and legislation and supervise implementation in an organisation to ensure that waste management occurs according to regulations. They perform inspections and supervise recycling workers. They advise organisations on ways they can improve their waste management procedures.
1254/03,1254,03,Scrap yard managers,"Scrap yard managers deals with the sale/recycling of scrap. Responsibilities include manage the operations and productivity of the yard and all personnel, ensure all equipment is maintained, clean and in working order, ensure yard personnel and visitors are compliant with health and safety requirements."
1254/04,1254,04,Sewage works and water treatment managers,"Sewage works and water treatment managers coordinate and plan pipe and sewer systems and supervise sewerage construction and maintenance operations. They supervise wastewater treatment plants and other sewage treatment facilities, and ensure operations are compliant with regulations."
1254/99,1254,99,Waste disposal and environmental services managers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1254: Waste disposal and environmental services managers
1255/01,1255,01,Art gallery managers and directors,"Art gallery managers and directors manage the commercial and artistic success of the gallery. Responsibilities include implementing marketing strategies to increase sales, advertising gallery artists and collections, organising and promoting exhibits and art installations, developing and maintaining relationships with artists and clients."
1255/02,1255,02,Film and television production managers,"Film and television production managers take care of the business, financial and recruitment side of film and television productions. Responsibilities include working with producers and senior production staff, draw up a production schedule and budget, negotiate costs with suppliers, hire crew and contractors, approve bookings of resources, locations, equipment and supplies, arrange permissions and risk assessments and manage a production office team."
1255/03,1255,03,Publishing managers and directors,"Publishing managers and directors oversee the publishing process and are responsible for every part of the daily operations in publishing. They supervise all publications at a company, which can involve overseeing the publishing project for multiple books or periodicals at a time. "
1255/04,1255,04,Radio production managers,"Radio production managers are responsible for organising the making of radio shows. They oversee aspects of radio shows such as content, audio production, resource planning and personnel supervision."
1255/05,1255,05,Sport and talent agents ,"Sports and talent agents represent artists, authors, performers, models, athletes and photographers. They are responsible for coordinating performances and appearances, contract negotiations, talent scouting and identifying potential venues/gigs."
1255/06,1255,06,Theatre production managers,"Theatre production managers are responsible for organising the making of theatre shows. They oversee all aspects of the production such as recruitment, labour relations, procurement of materials and services, logistics, venue booking, scheduling, and workplace health and safety."
1255/99,1255,99,Managers and directors in the creative industries n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1255: Managers and directors in the creative industries
1256/01,1256,01,Betting shop managers ,"Betting shop managers are responsible for all aspects of the running of a betting shop. They supervise staff, organise work schedules and recruit and train new staff, they ensure that betting rules are followed and comply with regulatory requirements."
1256/02,1256,02,Bingo hall managers,"Bingo hall managers are responsible for all aspects of the running of a bingo hall. They ensure that everything runs smoothly on game nights, from staffing to equipment maintenance to customer service."
1256/03,1256,03,Casino managers ,"Casino managers are responsible for all aspects of the running of a casino. They supervise staff, organise work schedules, monitor gaming areas, oversee security and ensure that gaming rules are followed and comply with regulatory requirements."
1256/99,1256,99,Betting shop and gambling establishment managers n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1256: Betting shop and gambling establishment managers
1257/00,1257,00,Hire services managers and proprietors,"Managers and proprietors in hire services plan, organise and direct the activities of businesses which hire goods and services, such as tools, heavy machinery and vehicles."
1258/01,1258,01,Design consultancy directors,"Design consultancy directors are responsible for the management of a company that gives expert advice on all aspects of design, to include but not limited to interior, fashion and garden design."
1258/02,1258,02,Environmental consultancy directors,Environmental consultancy directors are responsible for the management of a company that gives expert advisory and assessment services to clients to minimise or eliminate environmental damage.
1258/03,1258,03,Management consultancy directors,Management consultancy directors are responsible for the management of a company that provides expert advice about how to run a company or organisation more effectively.
1258/04,1258,04,Surveying consultancy directors,"Surveying consultancy directors are responsible for the management of a company that provides expert advice broadly concerned with contracts, measurement and costs on construction projects. "
1258/99,1258,99,Directors in consultancy services n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1258: Directors in consultancy services
1259/01,1259,01,Cleaning and hygiene services managers and proprietors,"Cleaning and hygiene services managers and proprietors supervise cleaning staff, order supplies and oversee budgets. They ensure the quality standards and that customers' expectations are met and are responsible for supporting and enforcing good health and safety practices."
1259/02,1259,02,Educational establishment managers and proprietors,"Educational establishment managers and proprietors plan, organise, direct and co-ordinate the administration, support systems and activities that facilitate the effective running of a university, college or other educational establishment. They develop new curricula and are committed to improving teaching practices."
1259/03,1259,03,Funeral services and crematorium managers and proprietors,"Funeral service and crematorium managers and proprietors oversee the general operations of a funeral business. They perform a wide variety of duties, such as planning and allocating the resources of the funeral home, coordination of funerals, managing staff, and handling marketing and public relations."
1259/04,1259,04,Library managers,Library managers supervise the correct use of library equipment and items. They manage the provided services of a library and the operation of the departments within a library. Library managers also provide training for new staff members and manage the budget of the library.
1259/05,1259,05,Recruitment agency managers and proprietors,"Recruitment agency managers and proprietors are responsible for managing staff that seeks out prospective employees for an organisation or a business. They work as contractors or for a company, oversee hiring and human resource functions. They may also interview, evaluate and hire prospective employees."
1259/06,1259,06,Security services managers and proprietors,"Security services managers and proprietors arrange security for people, company’s assets either fixed, movable, machines, vehicles, and real state. They ensure safety and security by enforcing security policies, keeping track of different events, implementing security protocols, creating emergency response procedures, conducting security evaluations, and supervising security staff members."
1259/99,1259,99,Managers and proprietors in other services n.e.c.,Job holders in this group perform occupations not elsewhere classified in Unit Group 1259: Managers and proprietors in other services n.e.c. 
2111/01,2111,01,Analytical chemists ,Analytical chemists research and describe the chemical composition of substances. They also draw conclusions based on how such substances behave in different conditions.
2111/02,2111,02,Industrial chemists ,"Industrial chemists assist chemical engineers in turning small-scale chemical discoveries into mass-produced goods by analysing compounds and substances to find their precise chemical or physical properties. Industrial chemists may also develop or improve products, formulas, analytical methods, and processes."
2111/03,2111,03,Nuclear and radiochemists,"Nuclear and radiochemists study radioactive elements that occur both naturally and artificially. They isolate these elements' structures, reactions and radioactive decay. They may run controlled experiments and work with dangerous substances. They may also work in industry or academia. "
2111/04,2111,04,Research and development chemists ,"Research and development chemists study chemical compounds. They use this research to create and improve processes and products, from new drugs and medical treatments to manufactured goods such as cosmetics, electrical goods and food and drink. "
2111/99,2111,99,Chemical scientists n.e.c. ,Job holders in this group perform occupations not elsewhere classified in Unit Group 2111: Chemical scientists
2112/01,2112,01,Agricultural scientists,"Agricultural scientists research and study soil, animals and plants. they aim to improve agricultural processes, the quality of agricultural products or the impact of agricultural processes on the environment. They plan and implement projects such as development projects on behalf of clients or institutions."
2112/02,2112,02,Biologists ,"Biologists study living organisms in relation to its environment. Through research, they aim to explain the functional mechanisms, interactions, and evolution of organisms."
2112/03,2112,03,Botanical and horticultural scientists,"Botanical and horticultural scientists conduct scientific studies on all forms of plant life either in a botanical garden or in the wild.  They may manage a botanical collection, identify, classify, record and monitor plant species and biodiversity. "
